Site,Date,Species,Time,Code,lookup,Transect,OI_Site,OI_Transects,TPI_Site,TPI_Transects,Isolation,Floral_Diversity,Floral_Richness,Flora,Site_Size,Site_Isolation,Connectivity,Distance_to_Closest_External_Patch,Distance,Day,Month,Year,Wind_ms,Cloud_cover,Temp,Humidity,Radiation,FHD_Simp,Thermal_div_Simp,T_Code,OI_Patch_old,TPI_Site_old,Sp_Code,OI_old,TPI_Patch_old,Abundance,Occurrence,OI_Limestone,Limestone_percent,Limestone_ha,Limestone_km2,Size_fix,Size
1,18-05-2021,tharos,2,11,tharos11,1,15.41595719,32.33029432,0.861530382,0.944677828,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,14.69684641,0.841978781,30,10.7798928,0.909119447,0,0,9.4,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,themistocles,2,11,themistocles11,1,12.33830808,25.34278803,0.822960539,0.916795661,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,8.048114873,0.800895799,31,7.200253,0.876666647,0,0,7.47,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,tullia,2,11,tullia11,1,15.02159342,31.33500507,0.861600658,0.943236724,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,13.66170129,0.842404419,32,10.2896402,0.908324665,0,0,9.14,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,vestris,2,11,vestris11,1,15.6934664,33.06652053,0.85294439,0.942394549,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,15.46573227,0.831910746,33,11.1257803,0.904140784,0,0,9.58,13.12,0.34,0.0034,0.02249222,0.0225
1,22-07-2021,antiopa,67,12,antiopa12,1,9.608756983,24.99754883,0.877139954,0.94390116,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,1.190652392,0.861394792,1,1.6551305,0.904689828,1,1,4.85,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,aphrodite,67,12,aphrodite12,1,20.10919356,51.0485549,0.908361425,0.984522571,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,9.909495069,0.890399385,2,7.3529352,0.939790337,0,0,12.7,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,archippus,67,12,archippus12,1,1.183214964,1.201616681,0.805545015,0.875928769,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.013704563,0.788945499,3,0.0662306,0.83458978,0,0,0,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,atalanta,67,12,atalanta12,1,6.338391783,12.58647174,0.840519812,0.91699024,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.334939508,0.822484797,4,0.8158614,0.872076321,0,0,3.09,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,augustinus,67,12,augustinus12,1,37.9176503,72.08065975,0.966863035,1.071433329,32146.744,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,60.61802095,0.942200864,5,29.2019165,1.010015317,0,0,30.68,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,baptisiae,67,12,baptisiae12,1,15.5745647,43.25874522,0.825144069,0.944004693,34149.44,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,4.813042358,0.797111623,6,4.2042055,0.87419344,0,0,8.88,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,bellona,67,12,bellona12,1,23.20061822,54.87945704,0.916995094,0.996827698,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,15.93127984,0.898167133,7,10.0697124,0.949939049,0,0,15.64,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,bimacula,67,12,bimacula12,1,20.65667773,51.74958875,0.81676074,0.973008327,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,10.7920689,0.77991084,8,7.8057426,0.881238324,0,0,13.21,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,cocyta,67,12,cocyta12,1,45.07007041,82.17075376,1.008644069,1.118870092,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,77.42255552,0.982648033,9,40.5648187,1.05413026,0,0,38.31,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,comyntas,67,12,comyntas12,1,6.474806956,13.05764056,0.831836669,0.912914741,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.354674078,0.812714973,10,0.843847,0.865294582,0,0,3.16,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,cybele,67,12,cybele12,1,11.44516972,31.39182726,0.867563325,0.944501689,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,1.981131558,0.849417951,11,2.2869072,0.899312935,4,1,5.99,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,cymela,67,12,cymela12,1,12.82310309,35.59367272,0.828428244,0.933267452,32156.755,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,2.723370665,0.80370265,12,2.8478851,0.871691496,0,0,6.91,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,dion,67,12,dion12,1,8.527896586,20.74450121,0.738722391,0.875131114,89922.08,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.832689219,0.706551349,13,1.3433065,0.795013211,0,0,4.23,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,egeremet,67,12,egeremet12,1,26.10465675,58.17927293,0.854197696,1.016211819,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,23.41890462,0.8159878,14,12.9750466,0.921054916,0,0,18.48,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,eurytheme,67,12,eurytheme12,1,0.351537315,0.190646346,0.803340128,0.866479802,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.00438546,0.788449079,15,0.014607,0.82939553,0,0,0.24,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,henrici,67,12,henrici12,1,47.31544075,83.95465885,1.026000347,1.157935728,32156.755,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,80.94298354,0.994884311,16,44.3482716,1.080445185,0,0,40.72,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,lineola,67,12,lineola12,1,32.75464214,66.01538244,0.91823042,1.059293741,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,43.93956836,0.884961623,17,21.4551585,0.976442021,0,0,25.27,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,lucia,67,12,lucia12,1,42.66854338,79.46520977,0.99522284,1.082378188,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,72.77835337,0.974667862,18,4.9335382,1.03118862,0,0,35.75,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,lucilius,67,12,lucilius12,1,16.79311671,45.85807197,0.828893123,0.951250344,32156.755,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,5.906666447,0.800036029,19,36.6244798,0.87938541,0,0,9.82,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,lygdamus,67,12,lygdamus12,1,9.735642097,25.50630222,0.879491551,0.945277781,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,1.243826095,0.863976329,20,1.6947191,0.906639088,0,0,4.92,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,origenes,67,12,origenes12,1,14.61832447,40.80975674,0.827771835,0.940441096,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,3.958974022,0.801199579,21,3.6903596,0.87426626,0,0,8.17,13.42,0.34,0.0034,0.02221951,0.022
